ParticipantName,Trial,Target,Age,MCDI_Total,SamplesInAOI,SamplesTotal,Prop
ANCAT55,FamiliarDog,Animate,19.63,13,329,329,1
ANCAT55,FamiliarHorse,Animate,19.63,13,286,330,0.8666666666666667
ANCAT55,FamiliarSpoon,Inanimate,19.63,13,185,327,0.5657492354740061
ANCAT58,FamiliarBird,Animate,19.3,28,246,325,0.7569230769230769
ANCAT58,FamiliarCow,Animate,19.3,28,288,311,0.9260450160771704
ANCAT58,FamiliarDog,Animate,19.3,28,244,328,0.7439024390243902
ANCAT58,FamiliarHorse,Animate,19.3,28,323,323,1
ANCAT58,FamiliarSpoon,Inanimate,19.3,28,74,320,0.23125
ANCAT59,FamiliarBird,Animate,18.41,31,151,323,0.4674922600619195
ANCAT59,FamiliarBottle,Inanimate,18.41,31,67,300,0.22333333333333333
ANCAT59,FamiliarCow,Animate,18.41,31,200,325,0.6153846153846154
ANCAT59,FamiliarDog,Animate,18.41,31,189,316,0.5981012658227848
ANCAT59,FamiliarHorse,Animate,18.41,31,164,293,0.5597269624573379
ANCAT59,FamiliarSpoon,Inanimate,18.41,31,142,315,0.4507936507936508
ANCAT60,FamiliarBird,Animate,21.47,41,236,319,0.7398119122257053
ANCAT60,FamiliarBottle,Inanimate,21.47,41,275,325,0.8461538461538461
ANCAT60,FamiliarCow,Animate,21.47,41,283,323,0.8761609907120743
ANCAT60,FamiliarDog,Animate,21.47,41,238,328,0.725609756097561
ANCAT60,FamiliarHorse,Animate,21.47,41,148,320,0.4625
ANCAT60,FamiliarSpoon,Inanimate,21.47,41,261,327,0.7981651376146789
ANCAT64,FamiliarCow,Animate,18.54,51,288,300,0.96
ANCAT64,FamiliarDog,Animate,18.54,51,257,291,0.8831615120274914
ANCAT64,FamiliarHorse,Animate,18.54,51,250,261,0.9578544061302682
ANCAT64,FamiliarSpoon,Inanimate,18.54,51,91,289,0.314878892733564
ANCAT69,FamiliarBird,Animate,19.27,21,281,281,1
ANCAT69,FamiliarCow,Animate,19.27,21,330,330,1
ANCAT69,FamiliarHorse,Animate,19.27,21,330,330,1
ANCAT69,FamiliarSpoon,Inanimate,19.27,21,68,299,0.22742474916387959
ANCAT72,FamiliarBird,Animate,18.87,15,274,310,0.8838709677419355
ANCAT72,FamiliarBottle,Inanimate,18.87,15,153,250,0.612
ANCAT72,FamiliarCow,Animate,18.87,15,249,276,0.9021739130434783
ANCAT72,FamiliarDog,Animate,18.87,15,222,311,0.7138263665594855
ANCAT72,FamiliarSpoon,Inanimate,18.87,15,145,323,0.44891640866873067
ANCAT74,FamiliarBird,Animate,18.87,25,221,316,0.6993670886075949
ANCAT74,FamiliarBottle,Inanimate,18.87,25,47,326,0.1441717791411043
ANCAT74,FamiliarCow,Animate,18.87,25,266,328,0.8109756097560976
ANCAT74,FamiliarDog,Animate,18.87,25,242,328,0.7378048780487805
ANCAT74,FamiliarHorse,Animate,18.87,25,162,329,0.49240121580547114
ANCAT74,FamiliarSpoon,Inanimate,18.87,25,151,314,0.48089171974522293
ANCAT75,FamiliarBottle,Inanimate,19.73,27,175,317,0.5520504731861199
ANCAT75,FamiliarCow,Animate,19.73,27,203,319,0.6363636363636364
ANCAT75,FamiliarDog,Animate,19.73,27,296,327,0.9051987767584098
ANCAT75,FamiliarHorse,Animate,19.73,27,225,311,0.7234726688102894
ANCAT75,FamiliarSpoon,Inanimate,19.73,27,209,315,0.6634920634920635
ANCAT76,FamiliarHorse,Animate,18.44,21,95,254,0.37401574803149606
ANCAT76,FamiliarSpoon,Inanimate,18.44,21,22,276,0.07971014492753623
ANCAT77,FamiliarBird,Animate,21.27,30,310,328,0.9451219512195121
ANCAT77,FamiliarBottle,Inanimate,21.27,30,71,327,0.21712538226299694
ANCAT77,FamiliarCow,Animate,21.27,30,234,328,0.7134146341463414
ANCAT77,FamiliarDog,Animate,21.27,30,304,321,0.9470404984423676
ANCAT77,FamiliarHorse,Animate,21.27,30,142,292,0.4863013698630137
ANCAT77,FamiliarSpoon,Inanimate,21.27,30,104,299,0.34782608695652173
ANCAT79,FamiliarBottle,Inanimate,19.53,21,141,252,0.5595238095238095
ANCAT79,FamiliarCow,Animate,19.53,21,257,316,0.8132911392405063
ANCAT79,FamiliarHorse,Animate,19.53,21,149,289,0.5155709342560554
ANCAT79,FamiliarSpoon,Inanimate,19.53,21,189,281,0.6725978647686833
ANCAT80,FamiliarBottle,Inanimate,19.73,23,130,320,0.40625
ANCAT80,FamiliarDog,Animate,19.73,23,174,324,0.5370370370370371
ANCAT81,FamiliarBottle,Inanimate,18.84,25,88,317,0.277602523659306
ANCAT81,FamiliarCow,Animate,18.84,25,284,284,1
ANCAT81,FamiliarDog,Animate,18.84,25,228,266,0.8571428571428571
ANCAT81,FamiliarHorse,Animate,18.84,25,202,248,0.8145161290322581
ANCAT81,FamiliarSpoon,Inanimate,18.84,25,158,298,0.5302013422818792
ANCAT82,FamiliarBird,Animate,19.63,50,193,263,0.7338403041825095
ANCAT82,FamiliarBottle,Inanimate,19.63,50,133,284,0.46830985915492956
ANCAT82,FamiliarCow,Animate,19.63,50,233,293,0.7952218430034129
ANCAT82,FamiliarHorse,Animate,19.63,50,279,328,0.850609756097561
ANCAT82,FamiliarSpoon,Inanimate,19.63,50,177,283,0.6254416961130742
ANCAT84,FamiliarBird,Animate,21.8,59,255,272,0.9375
ANCAT84,FamiliarBottle,Inanimate,21.8,59,40,317,0.12618296529968454
ANCAT84,FamiliarCow,Animate,21.8,59,307,330,0.9303030303030303
ANCAT84,FamiliarDog,Animate,21.8,59,224,322,0.6956521739130435
ANCAT84,FamiliarHorse,Animate,21.8,59,280,329,0.851063829787234
ANCAT84,FamiliarSpoon,Inanimate,21.8,59,172,328,0.524390243902439
ANCAT85,FamiliarBird,Animate,21.7,25,330,330,1
ANCAT85,FamiliarBottle,Inanimate,21.7,25,174,305,0.5704918032786885
ANCAT85,FamiliarCow,Animate,21.7,25,330,330,1
ANCAT85,FamiliarDog,Animate,21.7,25,276,328,0.8414634146341463
ANCAT85,FamiliarHorse,Animate,21.7,25,191,288,0.6631944444444444
ANCAT85,FamiliarSpoon,Inanimate,21.7,25,35,327,0.10703363914373089
ANCAT88,FamiliarCow,Animate,18.44,27,330,330,1
ANCAT88,FamiliarDog,Animate,18.44,27,281,328,0.8567073170731707
ANCAT88,FamiliarSpoon,Inanimate,18.44,27,190,328,0.5792682926829268
ANCAT90,FamiliarBird,Animate,19.59,25,145,310,0.46774193548387094
ANCAT90,FamiliarBottle,Inanimate,19.59,25,115,321,0.3582554517133956
ANCAT90,FamiliarCow,Animate,19.59,25,127,318,0.39937106918238996
ANCAT90,FamiliarHorse,Animate,19.59,25,300,300,1
ANCAT90,FamiliarSpoon,Inanimate,19.59,25,61,320,0.190625
